u (cm/s),C_d
37.19353107,0.622837146
36.65863536,0.619777516
35.99004946,0.616709791
35.45528865,0.616677414
34.92066276,0.61967229
34.51905254,0.607538994
33.31597564,0.610493399
33.85033173,0.601444016
33.84965721,0.586307749
34.38441801,0.586340126
34.78562351,0.589391662
34.65233803,0.598465328
35.05381334,0.607571371
35.58857414,0.607603748
36.12333494,0.607636125
36.79178594,0.607676597
37.46037185,0.610744321
37.99499775,0.607749445
38.52894912,0.589618302
38.12814833,0.595648526
37.72721263,0.598651496
36.79111142,0.59254033
36.25635062,0.592507953
35.85541493,0.595510923
35.18682902,0.592443199
35.1861545,0.577306932
36.38963611,0.583434287
37.45956242,0.592580801
43.47724029,0.629272083
43.07616969,0.6292478
42.54154379,0.632242677
42.27389358,0.626171981
41.60530768,0.623104257
41.07081668,0.629126386
40.93685667,0.623063785
40.66947627,0.623047597
40.13458057,0.619987967
40.00075546,0.616952619
39.86666055,0.607862765
39.73256564,0.59877291
40.26705663,0.59275078
40.53470684,0.598821476
40.53538136,0.613957743
41.60476806,0.610995243
41.33698295,0.601897295
41.20275313,0.589780187
40.80154762,0.586728651
41.73751393,0.589812564
42.13912415,0.60194586
42.27321906,0.611035715
42.67415476,0.608032744
43.07509045,0.605029773
43.34220105,0.598991455
44.01092186,0.605086433
43.74394617,0.614152005
43.34301047,0.617154975
44.41145284,0.593001702
43.74246222,0.580852218
43.4745422,0.568727016
43.34139162,0.580827935
42.80676572,0.583822811
42.2714653,0.571681421
42.6725359,0.571705703
42.93951159,0.562640132
43.07266218,0.550539213
42.67091705,0.535378663
42.53790137,0.550506836
42.00300567,0.547447205
41.73508565,0.535322003
